created_at,text
2015-08-06 22:16:02 +0000,@Ipaddlecanoe Thank you.
2015-08-06 22:01:04 +0000,http://t.co/3QsIuB7grP is the web site. Join our campaign today. http://t.co/emEXPA9j3Y
2015-08-06 21:56:48 +0000,#GOPDebate https://t.co/X4pHG9Bp73
2015-08-06 21:51:57 +0000,"5 steps to restoring American prosperity, http://t.co/CEekcQZA0V.  #GrowthCode #GOPDebate http://t.co/u1t662k9mC"
2015-08-06 21:48:52 +0000,"Read my plan for restoring American prosperity, http://t.co/CEekcQZA0V. #GrowthCode #GOPDebate"
2015-08-06 21:01:33 +0000,#gopdebate set and ready for my closeup http://t.co/KkRcKuYJ3d
2015-08-06 20:56:41 +0000,.@gopdebate all set to discuss the future of our great country #freedom http://t.co/HvGthdso6i
2015-08-06 20:38:46 +0000,Walk Thru completed. All set for #happyhourdebate in Cleveland on @foxnewsdebate
2015-08-06 20:23:59 +0000,.@foxnewsdebate at 5pmET is about to start. Looking forward to it. #happyhourdebate
2015-08-06 11:30:15 +0000,"5 steps to restoring American prosperity, http://t.co/CEekcQHYCl. #GrowthCode"
2015-08-05 20:53:20 +0000,Hope to discuss my plan for restoring American prosperity tomorrow  #foxnewsdebate http://t.co/CEekcQHYCl. #GrowthCode
2015-08-05 16:31:03 +0000,I'm really looking forward to tomorrow's debate on Fox. Please tune in at 5 EDT @foxnews
2015-08-04 17:55:48 +0000,Jim Gilmore In A Minute - http://t.co/yg1WGpZGdD #GoogleAlerts
2015-08-03 21:21:02 +0000,Going on @foxbusiness in a few minutes to talk 2016.
2015-08-03 19:11:55 +0000,Jim Gilmore:Long GOP primary 'an opportunity’ http://t.co/1a16Caj87Q
2015-08-02 15:15:41 +0000,About to be on CNN. You can also listen to CNN on your tunein app as well! http://t.co/intUntu3Bs  @CNNReliable
2015-08-02 14:58:52 +0000,looking forward to next appearance today on CNN w/ @brianstelter  https://t.co/1Tz9a94Z4z
2015-08-02 14:46:59 +0000,.@edrollins making common sense on @mariabartiromo Sunday Futures show.
2015-08-02 12:23:42 +0000,.@foxnews @mariabartiromo on today's Sunday Futures w/ Maria during 10amET hour....
