created_at,text
2015-08-27 01:25:53 +0000,Who’s the only GOP candidate defeating Hillary in New Hampshire? It’s Gov @JohnKasich Chip in: http://t.co/jNQkUUdwWs http://t.co/rMo9MQwRs8
2015-08-26 22:09:56 +0000,Gov. Kasich will be on the @HughHewitt show at 6:30p EDT &amp; a replay at 8:30p TONIGHT -Tune in! http://t.co/UpGYVqtv8l http://t.co/pueurOZvgE
2015-08-26 18:39:41 +0000,My thoughts &amp; prayers go out to Roanoke &amp; the families and friends of the victims of this senseless violent act. -John
2015-08-26 16:39:42 +0000,ENDORSEMENT: New York political icon @AlDAmatoNY endorses Gov. @JohnKasich for President! #Kasich4Us https://t.co/h6Y1Gxzxeo
2015-08-26 16:37:14 +0000,"It takes an on-the-ground military coalition to wipe out ISIS, but there’s a role for values also...
https://t.co/Sqbb8CnP6J"
2015-08-26 00:30:31 +0000,A new poll out today has Gov @JohnKasich at #2 in N.H. #Momentum Chip in today to help! http://t.co/jNQkUUdwWs http://t.co/EFZdKwZ02y
2015-08-25 21:18:44 +0000,Gov @JohnKasich will be on @wjrradio with @RepMikeRogers at 5:36PM EDT - Listen live: http://t.co/2QNy7uBakP
2015-08-25 18:43:17 +0000,Updated: Gov. Kasich will be on with @seanhannity (radio) today at 4:30PM EDT - here: http://t.co/BM1fowVbvH http://t.co/96MLBmg9Xd
2015-08-25 14:07:53 +0000,ICYMI: Former U.S. Senate Maj. Ldr Trent Lott announced his support of Gov. @JohnKasich https://t.co/JDtTW0wx29 http://t.co/KCQpcrAREq
2015-08-24 21:25:57 +0000,“There has never been a Governor in the state of Ohio as pro-life as John Kasich…” http://t.co/Xc2UZXNo5s
2015-08-24 19:28:47 +0000,"The recipe for a stronger economy: cutting taxes, cutting red tape &amp; balancing the budget.
https://t.co/6RaeHF8F50"
2015-08-24 15:50:39 +0000,Always great to talk with @hughhewitt about national security -John Listen here: https://t.co/pmgTrahivh
2015-08-24 13:04:28 +0000,Gov. John Kasich took in the @IowaStateFair last week. Check out some highlights. #FITN https://t.co/IQUePVa7L4
2015-08-23 17:23:13 +0000,"The U.S. must help Ukraine remain free &amp; strong. -John

https://t.co/cwu8oSw79K http://t.co/cTehtKRjUU"
2015-08-23 00:46:54 +0000,Tune in! Gov. @JohnKasich will be on @FoxNews @SundayFutures with @MariaBartiromo ​ - 10AM ET http://t.co/gLC0WG2SlF
2015-08-22 00:08:35 +0000,"""You're as pro-life as anyone in this field, aren't you, John Kasich?"" -@HughHewitt
https://t.co/L9xlO74rSR"
2015-08-21 23:04:07 +0000,Gov. @JohnKasich will be on the @LarryKudlowShow Sat. 10:30AM EDT. Find your station here: http://t.co/clV3isZjhH http://t.co/uaQfxIUehx
2015-08-21 15:12:03 +0000,Be sure to tune in tonight. @HughHewitt is one of the best in the business. -John http://t.co/e38uxXrywb
2015-08-20 01:23:13 +0000,"Experience. Optimism. Leadership. John Kasich wows the crowd at the @IowaStateFair soapbox.
https://t.co/eTNsMudCET"
2015-08-20 00:15:50 +0000,Nothing like being on the trail w/ my friend John Sununu. He's just a great guy. -John http://t.co/uB5m9CNHvq
2015-08-19 21:48:25 +0000,Our team in New Hampshire keeps getting stronger. So proud to have the support of Doug and Stella Scamman. -John http://t.co/HMP9ZjIIla
2015-08-19 21:09:18 +0000,Big things happening in Iowa. Thx to Fmr. Speaker Siegrist for his support! -John http://t.co/ztbPYe24JI
2015-08-19 19:16:11 +0000,Londonderry is in good hands with @nhkevinsmith. BIG Thanks to Londonderry PD for all you did at today’s Ed Summit http://t.co/MO9SXDrXUX
2015-08-19 18:22:37 +0000,"Gov. Kasich is in Salem, N.H. for a Town Hall event with voters. Discussing balanced budgets &amp; strengthening America http://t.co/zGeBAkJs53"
2015-08-19 14:41:53 +0000,Gov. @JohnKasich talking about improving education and creating better opportunities for all students at #EDsummit15 http://t.co/qMtdc4DEaA
2015-08-18 23:41:26 +0000,"That's dedication, JJ. Thx for coming out. -John https://t.co/M9X3u4J3cm"
2015-08-18 21:49:29 +0000,Riding along at the #IowaStateFair http://t.co/vQVEnaF7x2
2015-08-18 21:32:59 +0000,Overflow crowd watching Gov @JohnKasich speak at the #DMRsoapbox at the #IowaStateFair http://t.co/ObCzB7UbyX
2015-08-18 21:04:34 +0000,Gov Kasich speaks at the #DRMSoapbox about his plan to strengthen America #IowaStateFair @DMRegister http://t.co/KAdlSdCRq0
2015-08-18 20:23:29 +0000,Gov. @JohnKasich visiting with @IowaSOS Paul Pate at the #IowaStateFair http://t.co/7JOccTEMsj
2015-08-18 18:55:34 +0000,Gov @JohnKasich enjoying a visit with some #IowaStateFair attendees after helping cook at the IA Pork Producers tent http://t.co/zDeggD7yh0
2015-08-18 17:43:20 +0000,Gov Kasich walking around the #IowaStateFair with Sen @ChuckGrassley http://t.co/6CWEimLalc
2015-08-18 17:06:33 +0000,Gov Kasich visits with IA Gov @TerryBranstad &amp; Lt Gov @KimReynoldsIA #IowaStateFair http://t.co/4ViscLb099
2015-08-18 17:01:32 +0000,"America deserves a strong leader back in the White House. America needs @JohnKasich. 

http://t.co/dy8KnYJqEj
https://t.co/AdzERH0gU9"
2015-08-18 16:33:07 +0000,Gov Kasich visits with voters at the Home Plate Diner while visiting the @IowaStateFair http://t.co/AVQmAY4FNr
2015-08-17 23:14:32 +0000,Tune in tonight! http://t.co/oXS58h9wQn
2015-08-17 21:17:12 +0000,Gov @JohnKasich talks at the @APPSUSA forum about how we must strengthen our nat'l security to keep Americans safe. http://t.co/aF8wl4Y99z
2015-08-17 19:33:19 +0000,"In Ohio, Gov. Kasich is putting all children first. http://t.co/8NVzoiP9Gh"
2015-08-17 18:57:03 +0000,Great seeing @MattMooreSC and the @SCGOP today! Gov. Kasich signed to appear on the primary ballot http://t.co/i7soncX2iQ
2015-08-17 17:29:58 +0000,Gov @JohnKasich signs paperwork at the @SCGOP to appear on the South Carolina primary ballot http://t.co/P0xLScpOob
2015-08-17 15:19:10 +0000,Thx @GovernorBentley for inviting me down this AM. His endorsement is a strong indicator of growing momentum.  -John http://t.co/USLGkw16Di
2015-08-17 15:03:33 +0000,"After the @GovernorBentley endorsement, @JohnKasich checked out the Jesse Owens exhibit. Owens was born in Alabama. http://t.co/MsvfO8AL13"
2015-08-17 14:35:44 +0000,At the endorsement event Gov @JohnKasich &amp; @GovernorBentley exchange footballs signed by @OSUCoachMeyer &amp; Coach Saban http://t.co/etiVoV8KiC
2015-08-17 14:19:01 +0000,BREAKING: Alabama @GovernorBentley endorses Ohio Gov &amp; Presidential candidate @JohnKasich http://t.co/ujdaUW1JZW
2015-08-17 13:42:01 +0000,"""America's power has always been its people, so we should use that power to keep our people safe.""

ON NAT'L DEFENSE: http://t.co/tu1y53wLYF"
2015-08-17 02:26:36 +0000,"While in Birmingham, AL Gov @JohnKasich had dinner &amp; signed a rib box at the famous @dreamlandbbq http://t.co/xXum1FNmgh"
2015-08-17 02:16:33 +0000,"Col. Washington &amp; @revarthurprice showing me the historic, sacred 16th St Baptist Church in Birmingham, AL -John http://t.co/YXZzGjYJ0S"
2015-08-16 23:38:38 +0000,He did it! Congrats to Ohio's @JDayGolf on the #PGAChampionship -John https://t.co/5hLjmTltM6
2015-08-16 18:03:46 +0000,"Well said. Thank you, #JulianBond. 
-John https://t.co/YwpceSUoFe"
2015-08-15 15:16:35 +0000,Tune in Sunday to see Gov @JohnKasich on CBS' @FaceTheNation - Check your local listing here: http://t.co/KBSZ02cgnS http://t.co/xOCKxNfDTW
2015-08-14 18:24:15 +0000,@BenASchulman @JonnyFoosball2 http://t.co/R6J1brpNED
2015-08-14 18:08:52 +0000,It's on the way!!  ☕️ https://t.co/SWz92iPgyR
2015-08-14 16:02:02 +0000,"“After a standout performance in last week’s prez debate, Kasich saw crowds swell at his town hall meetings..."" https://t.co/mUGwgtRuia"
2015-08-13 23:45:22 +0000,34 years ago today. Reagan's investment in the American people can work again. -John http://t.co/a6JhzXPJRp
2015-08-13 16:32:12 +0000,"""The 'why' around the Kasich bid has turned into 'wow'"" http://t.co/nfVPKAX2ht #Kasich4Us"
2015-08-13 01:18:30 +0000,"In New Hampshire, Tom Rath is a guy you want on your side. Thx for joining the team, @polguru! -John http://t.co/G3N3BqYLjL"
2015-08-12 22:26:38 +0000,Thank you to the Belknap County Republicans for hosting Gov. Kasich tonight! #NHPolitics #FITN http://t.co/8QscaimWOq
2015-08-12 21:04:18 +0000,"Ford took operations from Mexico to Ohio -- ""thanks in large part to the leadership of Governor Kasich"": https://t.co/zmFrHRNZy0"
2015-08-12 20:36:15 +0000,"A lot of talk today about Ford's big move from Mexico to Ohio. http://t.co/ArZ1MSDFQw  

So how did it come to be? https://t.co/zmFrHRNZy0"
2015-08-12 16:12:49 +0000,"Overflow crowd at the Derry, N.H. Town Hall! #Kasich4Us #FITN #NHPolitics http://t.co/CyT26s1DV9"
2015-08-12 01:42:41 +0000,Very proud to have National &amp; New Hampshire GOP Leader @polguru Tom Rath's support! -John  #NHPolitics #Kasich4Us https://t.co/H2cHRkHMQI
2015-08-11 23:12:57 +0000,"Gov Kasich meets with Peterborough, NH voters - talks about experience balancing budgets &amp; creating jobs #NHPolitics http://t.co/OHlkaCrHqX"
2015-08-11 21:32:43 +0000,Gov. @JohnKasich is on the @HughHewitt show tonight in the 7pm hour. Be sure to tune in at http://t.co/ZfztZx9VGR
2015-08-11 18:18:53 +0000,"NEW POLL: Kasich momentum is growing in New Hampshire!

Join the team. Sign up at http://t.co/dy8KnZ122T http://t.co/UZEmWf9PRB"
2015-08-11 16:22:59 +0000,"The miracle of America needs to be revived. Together, we can make it happen. -John 

http://t.co/dy8KnYJqEj
https://t.co/Odzy1YqMko"
2015-08-11 14:23:03 +0000,Why people are still talking about @JohnKasich's debate performance: http://t.co/HamHl5J2ck
2015-08-10 21:59:59 +0000,Gov John Kasich will be on @FoxNews with @seanhannity tonight - Tune in at 10PM EST #Kasich4Us http://t.co/Ljg1urDNYQ
2015-08-10 19:08:44 +0000,Chip in today to help us keep up our momentum &amp; Sign up for updates #Kasich4Us http://t.co/dy8KnZ122T
2015-08-10 01:00:49 +0000,Here are some highlights from the shows today #Kasich4Us https://t.co/3MyGISpMHF
2015-08-09 00:31:40 +0000,You'll have a bunch of opportunities to catch @JohnKasich on the morning shows tomorrow. Check your local listings. http://t.co/ySzvAMKhEL
2015-08-08 15:53:46 +0000,Gov. Kasich on recent statements about @megynkelly of FOX News. http://t.co/DtmXsgzsgn
2015-08-07 21:47:26 +0000,"NEW VIDEO: John Kasich shined in last night's #GOPDebate, and America took notice. http://t.co/Tc6lTOLqjy"
2015-08-07 16:20:15 +0000,Lots of people talking about this answer at the debate. It's what I believe. The American Dream is for everyone.-John http://t.co/bflLhp2NLx
